stock_code,fiscal_year,seed_tfidf_E,seed_tfidf_S,seed_tfidf_G,expanded_tfidf_S,expanded_tfidf_G,g_signal_ratio,esg_signal_ratio,total_tokens,log_tokens,specificity,cosine_E,cosine_S,cosine_G,esg_year,esg_grade,esg_grade_num,e_grade_num,s_grade_num,g_grade_num
000950,2023,0.018693894426192296,0.04925254183845556,0.0,0.04925254183845556,0.0,0.017439387494683115,0.020416843896214378,2351,7.763021309018518,0.0,0.004431987157232256,0.005050877526873203,0.0,2024,D,0,1,0,0
000950,2024,0.07540001020882106,0.07160948397624348,0.0,0.07160948397624348,0.0,0.021544929059379925,0.027850761954808196,1903,7.55171221535131,0.0,0.004468997594643292,0.009377496221132965,0.0,2025,D,0,1,0,0
000970,2022,0.0,0.00936445630895127,0.009067375040062163,0.023023921881982025,0.009067375040062163,0.01347848626231208,0.01347848626231208,1929,7.5652752818989315,0.0,0.00877542321558159,0.013906213592547985,0.0,2023,D,0,1,0,0
000970,2023,0.0,0.009365351161854458,0.009068241504340623,0.02302612201220413,0.009068241504340623,0.01369141653501843,0.01369141653501843,1899,7.549609165154532,0.0,0.008776261781397062,0.01233357483837573,0.0,2024,D,0,1,0,0
000970,2024,0.0,0.008989648641882437,0.01740891580356194,0.022102400956190323,0.01740891580356194,0.025358851674641147,0.025358851674641147,2090,7.645397699428633,0.0,0.008424191302648234,0.011838798394122925,0.0,2025,D,0,1,0,0
000990,2022,0.200729327362315,0.11319946114619014,0.006344738582536429,0.1306104753191023,0.006344738582536429,0.029357116313638052,0.03641768859160163,2691,7.898039690764619,0.0,0.04041273036714049,0.05982167765208687,0.0,2023,B+,3,4,4,2
000990,2023,0.15529396406920662,0.06538102591361152,0.028813854303492117,0.08119502420930716,0.028813854303492117,0.03519374333451831,0.039459651617490224,2813,7.942362237674335,0.0,0.036705894487447537,0.04516467867507871,0.0,2024,C,1,3,4,0
000990,2024,0.14291906761519307,0.05155797029470112,0.021214213784226187,0.06611179989932023,0.021214213784226187,0.03374540594721016,0.03675242231874373,2993,8.004365564979574,0.0,0.033780915102339715,0.04006024459809108,0.0,2025,B+,3,3,4,3
001020,2022,0.028581810881666926,0.0,0.0050461129254258845,0.0,0.0050461129254258845,0.016159695817490494,0.017110266159695818,2104,7.652070746116482,0.0,0.003740036578135911,0.0036310361230314234,0.0021732802599282036,2023,D,0,1,1,0
001020,2023,0.022937980923666938,0.0,0.0,0.0,0.0,0.01677681748856126,0.01728520589730554,1967,7.584773077612199,0.0,0.0028578464208017284,0.0036994089482690427,0.0022142033756366703,2024,C,1,1,1,1
001020,2024,0.023348176650325105,0.0,0.0,0.0,0.0,0.013850415512465374,0.014404432132963989,1805,7.498869733976931,0.0,0.0038786036890475725,0.00376556480334586,0.0022537995705093025,2025,D,0,1,0,0
001040,2022,0.09798631684740387,0.0421537760535373,0.009453883567267939,0.06503286588369686,0.009453883567267939,0.006840605130453848,0.010567857925893445,22805,10.034778938217304,0.00030695023021267266,0.044737934584736974,0.020902394987347195,0.0063694477534217715,2023,A,4,4,5,3
001040,2023,0.08799968433719273,0.03994727086303664,0.007193226717692831,0.06050779894571795,0.007193226717692831,0.005369951286870469,0.008898776418242492,26071,10.168617220517397,0.00019178397453108818,0.03804333115064678,0.019343578181160545,0.0036583966790118606,2024,A,4,4,5,4
001040,2024,0.07556632011226216,0.043962502660305866,0.007371225079586392,0.06131369416643197,0.007371225079586392,0.0066046474165357815,0.009423704240666908,24831,10.119888422982946,0.00028190568241311266,0.036972461260035436,0.017557347861510097,0.008355214541417999,2025,B+,3,4,5,2
001060,2022,0.004328752599403244,0.014871386644982948,0.021599402404217122,0.047409612122024526,0.021599402404217122,0.011409013120365089,0.011979463776383342,3506,8.162516250140179,0.0002852253280091272,0.005336289288507534,0.0033460913299056443,0.004651258856575135,2023,B+,3,2,4,3
001060,2023,0.0,0.023694122832391692,0.02676618261202237,0.05825555858844808,0.02676618261202237,0.011901219875037191,0.01309134186254091,3361,8.120291313968561,0.0002975304968759298,0.00724318402517167,0.004784457064613121,0.006587295682723934,2024,B+,3,3,4,3
001060,2024,0.0,0.024917734615583106,0.04825447147257483,0.06126399187924603,0.04825447147257483,0.02324352879027998,0.02324352879027998,1893,7.546446273746024,0.0005282620179609086,0.009273664124619573,0.006181542906228682,0.0,2025,B+,3,3,4,3
001070,2022,0.041796408494731,0.058865659345617674,0.04344869111625393,0.058865659345617674,0.04344869111625393,0.03714710252600297,0.04011887072808321,2019,7.61085279039525,0.0,0.009498863949005544,0.017807064444721077,0.0,2023,C,1,1,0,2
001070,2023,0.012785807855953712,0.0,0.03189900584545033,0.0,0.03189900584545033,0.0367913148371532,0.03618817852834741,1658,7.413970290190444,0.0,0.001970220286903417,0.009099556820657318,0.0,2024,C,1,1,0,1
001070,2024,0.0,0.0,0.03182709600814087,0.0,0.03182709600814087,0.03426791277258567,0.03302180685358255,1605,7.381501894506707,0.0,0.001965778824966282,0.009079043715837313,0.0,2025,D,0,1,0,0
001080,2022,0.3210018804854364,0.0,0.030206436701518336,0.0,0.030206436701518336,0.02376103190767142,0.03598099117447386,1473,7.295735072749282,0.0,0.0896831825883387,0.022630101253409415,0.014377625290311134,2023,C,1,1,1,3
001080,2023,0.37900064821629226,0.025198306432904105,0.03215278558397568,0.025198306432904105,0.03215278558397568,0.026390870185449358,0.04136947218259629,1402,7.246368080102461,0.0,0.09546190994803608,0.02363832312284326,0.015304046211544159,2024,D,0,1,0,0
001080,2024,0.3315274295229949,0.0,0.029581611391743305,0.0,0.029581611391743305,0.028668941979522185,0.041638225255972695,1465,7.290292882446597,0.0,0.09311829108123225,0.017696023618746344,0.014080221651986706,2025,D,0,0,0,0
001120,2022,0.029467882737802195,0.03946452731528943,0.027185004908662734,0.046464076476856096,0.027185004908662734,0.01937984496124031,0.01765719207579673,6966,8.848939995030118,0.0002871088142405972,0.021452238295990956,0.010657827119709272,0.0028533155574520528,2023,B+,3,3,5,2
001120,2023,0.04854109643312196,0.043874887691527385,0.024112788239732112,0.050083407692664804,0.024112788239732112,0.017986577181208052,0.01785234899328859,7450,8.916103530553727,0.00013422818791946307,0.02547750829204538,0.010197527756849853,0.003796287367749404,2024,A,4,3,5,3
001120,2024,0.04563795075005537,0.03094897448874684,0.020304535598423143,0.03094897448874684,0.020304535598423143,0.016466030164660302,0.016050920160509203,7227,8.885717651712119,0.0001383700013837,0.026386127165642533,0.010686139912509121,0.01154825669452625,2025,A,4,3,4,4
001130,2022,0.0,0.03959756734727543,0.0,0.03959756734727543,0.0,0.011662904439428141,0.013167795334838224,2658,7.88570539124302,0.0,0.0057738798961258515,0.007179429962851033,0.0,2023,D,0,1,0,0
001130,2023,0.0,0.04277117463110953,0.0,0.04277117463110953,0.0,0.011845624761176921,0.013374092472296522,2617,7.870165946469845,0.0,0.006236636285517765,0.007754836300923682,0.0,2024,C,1,1,1,1
001130,2024,0.0,0.03575546917474891,0.0,0.03575546917474891,0.0,0.012825348924933987,0.013956997359486986,2651,7.883069351305753,0.0,0.005033178411078,0.0066199746600265385,0.0,2025,C,1,1,1,1
001140,2022,0.0,0.044963726935595125,0.005561359187795061,0.044963726935595125,0.005561359187795061,0.025588952071486596,0.028025995125913892,2462,7.809135398120538,0.0012185215272136475,0.004018231541614414,0.019201923018793615,0.002395188597604618,2023,D,0,1,0,0
001140,2023,0.0,0.02070898726174298,0.007056160160149504,0.02070898726174298,0.007056160160149504,0.027267668336115748,0.028937117417918753,1797,7.494430215031565,0.001669449081803005,0.005098265434899393,0.010707914851755089,0.00303897550720201,2024,D,0,1,0,0
001140,2024,0.0,0.02733997718167077,0.009315533170716,0.02733997718167077,0.009315533170716,0.03462897526501767,0.03674911660777385,1415,7.255591274253665,0.0021201413427561835,0.008456825794825325,0.014136574812187025,0.004012051384861704,2025,D,0,1,0,0
001200,2022,0.0,0.019885965741516676,0.017610468411569033,0.019885965741516676,0.017610468411569033,0.04249084249084249,0.028205128205128206,2730,7.912423121473705,0.0,0.004241345640184929,0.034969710465129665,0.002528182512795037,2023,B,2,1,2,2
001200,2023,0.0,0.01971179876637323,0.017456230892809826,0.01971179876637323,0.017456230892809826,0.04439511653718091,0.029966703662597113,2703,7.902487437162855,0.0,0.004204198722087478,0.03216732055110125,0.00250603996731409,2024,C,1,2,0,1
