company_name,stock_code,corp_code,fiscal_year,esg_year,rcept_no,report_nm,rcept_dt,selection_priority,section_chars_II,section_chars_IV,section_chars_VI,total_chars,viewer_url,status,reason
삼양홀딩스,000070,00126937,2024,2025,20250320000941,사업보고서 (2024.12),20250320,0,25418,5966,1047,32433,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000941,SUCCESS,
유한양행,000100,00145109,2022,2023,20230315001431,사업보고서 (2022.12),20230315,0,11140,30678,2820,44640,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001431,SUCCESS,
유한양행,000100,00145109,2023,2024,20240307000960,사업보고서 (2023.12),20240307,0,11254,31231,2566,45053,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240307000960,SUCCESS,
유한양행,000100,00145109,2024,2025,20250312001137,사업보고서 (2024.12),20250312,0,14455,29971,2879,47307,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312001137,SUCCESS,
두산,000150,00117212,2022,2023,20230321001440,사업보고서 (2022.12),20230321,0,73853,15184,2466,91505,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001440,SUCCESS,
두산,000150,00117212,2023,2024,20240320001953,사업보고서 (2023.12),20240320,0,89685,15025,2311,107023,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001953,SUCCESS,
두산,000150,00117212,2024,2025,20250321001806,사업보고서 (2024.12),20250321,0,89688,13137,2246,105073,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001806,SUCCESS,
DL,000210,00109693,2022,2023,20230317000003,사업보고서 (2022.12),20230317,0,52364,13680,2600,68646,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000003,SUCCESS,
DL,000210,00109693,2023,2024,20240314001785,사업보고서 (2023.12),20240314,0,56088,14813,2349,73252,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001785,SUCCESS,
DL,000210,00109693,2024,2025,20250317000751,사업보고서 (2024.12),20250317,0,55077,13983,2250,71312,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000751,SUCCESS,
기아,000270,00106641,2022,2023,20230309000734,사업보고서 (2022.12),20230309,0,24485,11596,3218,39301,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000734,SUCCESS,
기아,000270,00106641,2023,2024,20240307000911,사업보고서 (2023.12),20240307,0,21990,8364,3342,33698,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240307000911,SUCCESS,
기아,000270,00106641,2024,2025,20250306000691,사업보고서 (2024.12),20250306,0,22298,7951,3522,33773,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250306000691,SUCCESS,
노루홀딩스,000320,00113508,2022,2023,20230316001033,사업보고서 (2022.12),20230316,0,20982,5774,1640,28398,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001033,SUCCESS,
노루홀딩스,000320,00113508,2023,2024,20240321001014,사업보고서 (2023.12),20240321,0,18707,5392,1638,25739,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001014,SUCCESS,
노루홀딩스,000320,00113508,2024,2025,20250313001148,[첨부추가]사업보고서 (2024.12),20250313,0,20109,5340,1525,26976,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001148,SUCCESS,
한화손해보험,000370,00135917,2022,2023,20230314001218,사업보고서 (2022.12),20230314,0,9385,10580,3774,23741,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230314001218,SUCCESS,
